to_field,from_field,factor,Description
EE_AUTO_MARG_AM,EE_AUTO_MARG,0.08437253,
EE_AUTO_MARG_MD,EE_AUTO_MARG,0.419081138,
EE_AUTO_MARG_PM,EE_AUTO_MARG,0.115896332,
EE_AUTO_MARG_NT,EE_AUTO_MARG,0.38065,
EE_CV_SUT_MARG_AM,EE_CV_SUT_MARG,0.077608832,
EE_CV_SUT_MARG_MD,EE_CV_SUT_MARG,0.385485629,
EE_CV_SUT_MARG_PM,EE_CV_SUT_MARG,0.106605539,
EE_CV_SUT_MARG_NT,EE_CV_SUT_MARG,0.4303,
EE_CV_MUT_MARG_AM,EE_CV_MUT_MARG,0.077608832,
EE_CV_MUT_MARG_MD,EE_CV_MUT_MARG,0.385485629,
EE_CV_MUT_MARG_PM,EE_CV_MUT_MARG,0.106605539,
EE_CV_MUT_MARG_NT,EE_CV_MUT_MARG,0.4303,
