HCMType,AreaType,HCMMedian,cape_phpl,capd_phpl
Freeway,Downtown,Restrictive,3903,3513
Freeway,Rural,Restrictive,4163,3747
Freeway,Suburban,Restrictive,4076,3669
Freeway,Urban,Restrictive,3990,3591
MLHighway,Downtown,Restrictive,2974,2676
MLHighway,Rural,Restrictive,2974,2676
MLHighway,Suburban,Restrictive,2974,2676
MLHighway,Urban,Restrictive,2974,2676
TLHighway,Downtown,None,2602,2342
TLHighway,Rural,None,2602,2342
TLHighway,Suburban,None,2602,2342
TLHighway,Urban,None,2602,2342
Superstreet,Downtown,Restrictive,3060,2754
Superstreet,Rural,Restrictive,3060,2754
Superstreet,Suburban,Restrictive,3060,2754
Superstreet,Urban,Restrictive,3060,2754
MajorArterial,Downtown,None,1918,1726
MajorArterial,Downtown,NonRestrictive,2225,2003
MajorArterial,Downtown,Restrictive,2613,2351
MajorArterial,Rural,None,1846,1661
MajorArterial,Rural,NonRestrictive,2536,2283
MajorArterial,Rural,Restrictive,3016,2715
MajorArterial,Suburban,None,1846,1661
MajorArterial,Suburban,NonRestrictive,2448,2203
MajorArterial,Suburban,Restrictive,2210,1989
MajorArterial,Urban,None,1918,1726
MajorArterial,Urban,NonRestrictive,2448,2203
MajorArterial,Urban,Restrictive,2494,2244
Arterial,Downtown,None,1559,1403
Arterial,Downtown,NonRestrictive,1535,1382
Arterial,Downtown,Restrictive,2324,2091
Arterial,Rural,None,1612,1450
Arterial,Rural,NonRestrictive,2057,1851
Arterial,Rural,Restrictive,2693,2424
Arterial,Suburban,None,1938,1744
Arterial,Suburban,NonRestrictive,2020,1817
Arterial,Suburban,Restrictive,2474,2227
Arterial,Urban,None,1715,1544
Arterial,Urban,NonRestrictive,1715,1544
Arterial,Urban,Restrictive,2324,2091
MajorCollector,Downtown,None,908,817
MajorCollector,Downtown,NonRestrictive,900,810
MajorCollector,Downtown,Restrictive,1000,900
MajorCollector,Rural,None,811,730
MajorCollector,Rural,NonRestrictive,1013,912
MajorCollector,Rural,Restrictive,1308,1177
MajorCollector,Suburban,None,880,792
MajorCollector,Suburban,NonRestrictive,990,891
MajorCollector,Suburban,Restrictive,1012,911
MajorCollector,Urban,None,750,675
MajorCollector,Urban,NonRestrictive,900,810
MajorCollector,Urban,Restrictive,1000,900
Collector,Downtown,None,715,644
Collector,Downtown,NonRestrictive,880,792
Collector,Downtown,Restrictive,990,891
Collector,Rural,None,741,667
Collector,Rural,NonRestrictive,944,850
Collector,Rural,Restrictive,1208,1087
Collector,Suburban,None,780,702
Collector,Suburban,NonRestrictive,890,801
Collector,Suburban,Restrictive,912,821
Collector,Urban,None,650,585
Collector,Urban,NonRestrictive,800,720
Collector,Urban,Restrictive,900,810
Local,Downtown,None,715,644
Local,Downtown,NonRestrictive,800,720
Local,Downtown,Restrictive,900,810
Local,Rural,None,741,667
Local,Rural,NonRestrictive,944,850
Local,Rural,Restrictive,1208,1087
Local,Suburban,None,780,702
Local,Suburban,NonRestrictive,890,801
Local,Suburban,Restrictive,912,821
Local,Urban,None,715,644
Local,Urban,NonRestrictive,800,720
Local,Urban,Restrictive,900,810
CC,Downtown,None,10000,9000
CC,Rural,None,10000,9000
CC,Suburban,None,10000,9000
CC,Urban,None,10000,9000
