"projid","master_route_id","scenario_route_id","master_length","scenario_length","length_diff","pct_diff","master_stops","scenario_stops","missing_stops"
"1",99,35,9.0487,9.0487,0.00,0.00,8,8,0
"1",106,38,10.432,10.432,0.00,0.00,28,28,0
"2",133,44,14.9288,14.9267,-0.00203478,-0.01,20,20,0
"2",427,132,14.4396,14.4396,0.00,0.00,20,20,0
"4",471,145,12.2638,12.2638,0.00,0.00,37,37,0
"4",472,146,13.7553,13.7553,0.00,0.00,38,38,0
"6",290,75,16.2052,16.2078,0.00264229,0.02,20,20,0
"6",291,76,17.4005,17.4597,0.0591688,0.34,18,18,0
"7",477,148,9.14754,9.14754,0.00,0.00,19,19,0
"7",479,149,9.09124,9.09124,0.00,0.00,21,21,0
"8",131,43,6.1434,6.1434,0.00,0.00,10,10,0
"9",122,41,9.45309,9.45309,0.00,0.00,15,15,0
"14",124,42,8.4181,8.4181,0.00,0.00,19,19,0
"16",481,150,18.1535,18.1688,0.0152979,0.08,21,21,0
"16",602,211,19.8206,19.8352,0.0145525,0.07,23,23,0
"23",396,115,15.5418,15.5418,0.00,0.00,43,43,0
"23",397,116,16.1423,16.1423,0.00,0.00,44,44,0
"26",257,72,9.6948,9.69429,-0.000504151,-0.01,18,18,0
"27",319,88,22.4272,22.4272,0.00,0.00,12,12,0
"27",320,89,24.0076,24.0076,0.00,0.00,14,14,0
"30",311,83,7.06827,7.06827,0.00,0.00,44,44,0
"30",317,87,7.76378,7.76378,0.00,0.00,48,48,0
"32",12,1,4.26254,4.26254,0.00,0.00,31,31,0
"32",13,2,5.17291,5.17291,0.00,0.00,30,30,0
"33",328,93,6.16132,6.16132,0.00,0.00,33,33,0
"33",336,94,5.82921,5.8174,-0.0118065,-0.2,35,35,0
"34",16,3,5.22907,5.22907,0.00,0.00,11,11,0
"34",17,4,3.88922,3.88922,0.00,0.00,10,10,0
"35",407,122,7.74189,7.74189,0.00,0.00,40,40,0
"35",411,126,9.29844,9.29844,0.00,0.00,50,50,0
"37",410,125,8.44764,8.44764,0.00,0.00,53,53,0
"37",412,127,9.18923,9.18923,0.00,0.00,51,50,1
"38",323,91,10.1227,10.1227,0.00,0.00,51,51,0
"38",324,92,9.80599,9.80599,0.00,0.00,48,48,0
"40",186,60,3.88,3.88,0.00,0.00,9,9,0
"40",187,61,4.6432,4.6432,0.00,0.00,12,12,0
"41",26,5,6.39198,6.39198,0.00,0.00,33,33,0
"41",27,6,5.19869,5.19869,0.00,0.00,36,36,0
"42",28,7,4.1988,4.1988,0.00,0.00,10,10,0
"42",29,8,3.20632,3.20632,0.00,0.00,6,6,0
"43",30,9,3.54023,3.54023,0.00,0.00,27,27,0
"43",31,10,3.94199,3.94199,0.00,0.00,26,26,0
"45",314,84,4.15649,4.15649,0.00,0.00,23,23,0
"45",315,85,3.04514,3.04514,0.00,0.00,15,15,0
"46",36,11,3.60604,3.60604,0.00,0.00,13,13,0
