"Alternative","Expression","Segment","Coefficient","Description"
"auto_pay","Constant","v0",0.292885,"Additional Calibration Constant"
"auto_pay","Constant","hvvi",-0.189182,"Additional Calibration Constant"
"auto_pay","Constant","hvvs",0.62,"Additional Calibration Constant"
"auto_pay","Constant","cavvi",-0.189182,"Additional Calibration Constant"
"auto_pay","Constant","cavvs",0.62,"Additional Calibration Constant"
"auto_pay","Constant",,-1.032,"Constant"
"auto_pay","hov_skim.CongTime",,-0.0425,"Travel time"
"auto_pay","se.PKTNCWait.O",,-0.0425,"Auto wait time"
"auto_pay","hov_skim.auto_pay_fare*0.6","hvvi",-0.155507,"Auto fare"
"auto_pay","hov_skim.auto_pay_fare*0.6","hvvs",-0.155507,"Auto fare"
"auto_pay","hov_skim.auto_pay_fare*0.6","cavvi",-0.155507,"Auto fare"
"auto_pay","hov_skim.auto_pay_fare*0.6","cavvs",-0.155507,"Auto fare"
"hov2","Constant","v0",-99.0000,"Auto Availability"
"hov2","Constant","hvvi",0.714367,"Additional Calibration Constant"
"hov2","Constant","hvvs",-0.92358,"Additional Calibration Constant"
"hov2","Constant","cavvi",0.714367,"Additional Calibration Constant"
"hov2","Constant","cavvs",-0.92358,"Additional Calibration Constant"
"hov2","Constant",,3.627,"Constant"
"hov2","se.HiIncomePct.O",,0.08253,"High income"
"hov2","hov_skim.CongTime","hvvi",-0.1062,"Travel time"
"hov2","hov_skim.CongTime","hvvs",-0.1062,"Travel time"
"hov2","hov_skim.CongTime*0.4","cavvi",-0.1062,"Travel time"
"hov2","hov_skim.CongTime*0.4","cavvs",-0.1062,"Travel time"
"hov2","hov_skim.[TollCostHOV (Skim)]",,-0.388584,"Toll"
"hov3","Constant","v0",-99.0000,"Auto Availability"
"hov3","Constant","hvvi",1.14128,"Additional Calibration Constant"
"hov3","Constant","hvvs",-1.01216,"Additional Calibration Constant"
"hov3","Constant","cavvi",1.14128,"Additional Calibration Constant"
"hov3","Constant","cavvs",-1.01216,"Additional Calibration Constant"
"hov3","Constant",,3.297,"Constant"
