"Alternative","Expression","Segment","Coefficient","Description"
"auto_pay","Constant","cavihvi",1.575,"Vehicle insufficient households"
"auto_pay","Constant","cavihvi",1.59616,"Additional Calibration Constant"
"auto_pay","hov_skim.auto_pay_fare*0.6","cavihvi",-0.175156,"Auto fare"
"auto_pay","Constant","cavihvs",3.18576,"Additional Calibration Constant"
"auto_pay","hov_skim.auto_pay_fare*0.6","cavihvs",-0.175156,"Auto fare"
"auto_pay","Constant","cavilvi",1.575,"Vehicle insufficient households"
"auto_pay","Constant","cavilvi",2.42409,"Additional Calibration Constant"
"auto_pay","hov_skim.auto_pay_fare*0.6","cavilvi",-0.175156,"Auto fare"
"auto_pay","Constant","cavilvs",-0.312514,"Additional Calibration Constant"
"auto_pay","hov_skim.auto_pay_fare*0.6","cavilvs",-0.175156,"Auto fare"
"auto_pay","Constant","hvihvi",1.575,"Vehicle insufficient households"
"auto_pay","Constant","hvihvi",1.59616,"Additional Calibration Constant"
"auto_pay","hov_skim.auto_pay_fare*0.6","hvihvi",-0.175156,"Auto fare"
"auto_pay","Constant","hvihvs",3.18576,"Additional Calibration Constant"
"auto_pay","hov_skim.auto_pay_fare*0.6","hvihvs",-0.175156,"Auto fare"
"auto_pay","Constant","hvilvi",1.575,"Vehicle insufficient households"
"auto_pay","Constant","hvilvi",2.42409,"Additional Calibration Constant"
"auto_pay","hov_skim.auto_pay_fare*0.6","hvilvi",-0.175156,"Auto fare"
"auto_pay","Constant","hvilvs",-0.312514,"Additional Calibration Constant"
"auto_pay","hov_skim.auto_pay_fare*0.6","hvilvs",-0.175156,"Auto fare"
"auto_pay","Constant","v0",1.575,"Zero-vehicle households"
"auto_pay","Constant","v0",1.33874,"Additional Calibration Constant"
"auto_pay","hov_skim.auto_pay_fare*0.6","v0",-0.175156,"Auto fare"
"auto_pay","Constant",,3.758,"Constant"
"auto_pay","hov_skim.CongTime",,-0.04787,"Travel time"
"auto_pay","se.PKTNCWait.O",,-0.04787,"Auto wait time"
"hov2","Constant","cavihvi",-0.7876,"Vehicle insufficient households"
"hov2","Constant","cavihvi",0.6589,"High income households"
"hov2","Constant","cavihvi",2.5095,"Additional Calibration Constant"
"hov2","hov_skim.CongTime*0.4","cavihvi",-0.1164,"Travel time"
"hov2","Constant","cavihvs",0.6589,"High income households"
"hov2","Constant","cavihvs",3.89785,"Additional Calibration Constant"
"hov2","hov_skim.CongTime*0.4","cavihvs",-0.1164,"Travel time"
"hov2","Constant","cavilvi",-0.7876,"Vehicle insufficient households"
"hov2","Constant","cavilvi",4.18659,"Additional Calibration Constant"
"hov2","hov_skim.CongTime*0.4","cavilvi",-0.1164,"Travel time"
"hov2","Constant","cavilvs",3.47225,"Additional Calibration Constant"
"hov2","hov_skim.CongTime*0.4","cavilvs",-0.1164,"Travel time"
"hov2","Constant","hvihvi",-0.7876,"Vehicle insufficient households"
"hov2","Constant","hvihvi",0.6589,"High income households"
"hov2","Constant","hvihvi",2.5095,"Additional Calibration Constant"
"hov2","hov_skim.CongTime","hvihvi",-0.1164,"Travel time"
"hov2","Constant","hvihvs",0.6589,"High income households"
"hov2","Constant","hvihvs",3.89785,"Additional Calibration Constant"
"hov2","hov_skim.CongTime","hvihvs",-0.1164,"Travel time"
"hov2","Constant","hvilvi",-0.7876,"Vehicle insufficient households"
"hov2","Constant","hvilvi",4.18659,"Additional Calibration Constant"
"hov2","hov_skim.CongTime","hvilvi",-0.1164,"Travel time"
"hov2","Constant","hvilvs",3.47225,"Additional Calibration Constant"
"hov2","hov_skim.CongTime","hvilvs",-0.1164,"Travel time"
"hov2","Constant","v0",-99.0000,"Auto Availability"
"hov2","hov_skim.CongTime","v0",-0.1164,"Travel time"
"hov2","Constant",,0.9651,"Constant"
"hov2","hov_skim.[TollCostHOV (Skim)]",,-0.425906,"Toll cost"
"hov2","parking.MC_LS_Work.D",,0.5791,"Parking"
"hov3","Constant","cavihvi",-0.7876,"Vehicle insufficient households"
"hov3","Constant","cavihvi",0.6589,"High income households"
"hov3","Constant","cavihvi",3.03602,"Additional Calibration Constant"
"hov3","hov_skim.CongTime*0.4","cavihvi",-0.1164,"Travel time"
"hov3","Constant","cavihvs",0.6589,"High income households"
"hov3","Constant","cavihvs",3.7091,"Additional Calibration Constant"
"hov3","hov_skim.CongTime*0.4","cavihvs",-0.1164,"Travel time"
"hov3","Constant","cavilvi",-0.7876,"Vehicle insufficient households"
"hov3","Constant","cavilvi",4.57552,"Additional Calibration Constant"
"hov3","hov_skim.CongTime*0.4","cavilvi",-0.1164,"Travel time"
"hov3","Constant","cavilvs",3.21825,"Additional Calibration Constant"
"hov3","hov_skim.CongTime*0.4","cavilvs",-0.1164,"Travel time"
"hov3","Constant","hvihvi",-0.7876,"Vehicle insufficient households"
"hov3","Constant","hvihvi",0.6589,"High income households"
"hov3","Constant","hvihvi",3.03602,"Additional Calibration Constant"
"hov3","hov_skim.CongTime","hvihvi",-0.1164,"Travel time"
"hov3","Constant","hvihvs",0.6589,"High income households"
"hov3","Constant","hvihvs",3.7091,"Additional Calibration Constant"
"hov3","hov_skim.CongTime","hvihvs",-0.1164,"Travel time"
"hov3","Constant","hvilvi",-0.7876,"Vehicle insufficient households"
"hov3","Constant","hvilvi",4.57552,"Additional Calibration Constant"
"hov3","hov_skim.CongTime","hvilvi",-0.1164,"Travel time"
"hov3","Constant","hvilvs",3.21825,"Additional Calibration Constant"
"hov3","hov_skim.CongTime","hvilvs",-0.1164,"Travel time"
"hov3","Constant","v0",-99.0000,"Auto Availability"
"hov3","hov_skim.CongTime","v0",-0.1164,"Travel time"
"hov3","Constant",,0.197,"Constant"
"hov3","hov_skim.[TollCostHOV (Skim)]",,-0.425906,"Toll cost"
"hov3","parking.MC_LS_Work.D",,0.5791,"Parking"
"other_auto","Constant","cavihvi",0.2776,"Vehicle insufficient households"
"other_auto","Constant","cavihvi",2.773,"Additional Calibration Constant"
"other_auto","Constant","cavihvs",4.41875,"Additional Calibration Constant"
"other_auto","Constant","cavilvi",0.2776,"Vehicle insufficient households"
"other_auto","Constant","cavilvi",4.28613,"Additional Calibration Constant"
"other_auto","Constant","cavilvs",2.80813,"Additional Calibration Constant"
"other_auto","Constant","hvihvi",0.2776,"Vehicle insufficient households"
"other_auto","Constant","hvihvi",2.773,"Additional Calibration Constant"
"other_auto","Constant","hvihvs",4.41875,"Additional Calibration Constant"
"other_auto","Constant","hvilvi",0.2776,"Vehicle insufficient households"
"other_auto","Constant","hvilvi",4.28613,"Additional Calibration Constant"
"other_auto","Constant","hvilvs",2.80813,"Additional Calibration Constant"
"other_auto","Constant","v0",0.2776,"Zero-vehicle households"
"other_auto","Constant","v0",-1.0535,"Additional Calibration Constant"
"other_auto","Constant",,-6.619,"Constant"
"other_auto","parking.MC_LS_Work.D",,1.132,"Parking"
"other_auto","sov_skim.[TollCostSOV (Skim)]",,-0.422613,"Toll cost"
"other_auto","sov_skim.CongTime*0.4","cavihvi",-0.1155,"Travel time"
"other_auto","sov_skim.CongTime*0.4","cavihvs",-0.1155,"Travel time"
"other_auto","sov_skim.CongTime*0.4","cavilvi",-0.1155,"Travel time"
"other_auto","sov_skim.CongTime*0.4","cavilvs",-0.1155,"Travel time"
"other_auto","sov_skim.CongTime","hvihvi",-0.1155,"Travel time"
"other_auto","sov_skim.CongTime","hvihvs",-0.1155,"Travel time"
"other_auto","sov_skim.CongTime","hvilvi",-0.1155,"Travel time"
"other_auto","sov_skim.CongTime","hvilvs",-0.1155,"Travel time"
"sov","Constant","cavihvi",-1.817,"Vehicle insufficient households"
"sov","Constant","cavihvi",0.6589,"High income households"
"sov","Constant","cavihvi",3.02379,"Additional Calibration Constant"
"sov","sov_skim.CongTime*0.4","cavihvi",-0.1164,"Travel time"
"sov","Constant","cavihvs",0.6589,"High income households"
"sov","Constant","cavihvs",4.06634,"Additional Calibration Constant"
"sov","sov_skim.CongTime*0.4","cavihvs",-0.1164,"Travel time"
"sov","Constant","cavilvi",-1.817,"Vehicle insufficient households"
"sov","Constant","cavilvi",4.38168,"Additional Calibration Constant"
"sov","sov_skim.CongTime*0.4","cavilvi",-0.1164,"Travel time"
"sov","Constant","cavilvs",3.29988,"Additional Calibration Constant"
"sov","sov_skim.CongTime*0.4","cavilvs",-0.1164,"Travel time"
"sov","Constant","hvihvi",-1.817,"Vehicle insufficient households"
"sov","Constant","hvihvi",0.6589,"High income households"
"sov","Constant","hvihvi",3.02379,"Additional Calibration Constant"
"sov","sov_skim.CongTime","hvihvi",-0.1164,"Travel time"
"sov","Constant","hvihvs",0.6589,"High income households"
"sov","Constant","hvihvs",4.06634,"Additional Calibration Constant"
"sov","sov_skim.CongTime","hvihvs",-0.1164,"Travel time"
"sov","Constant","hvilvi",-1.817,"Vehicle insufficient households"
"sov","Constant","hvilvi",4.38168,"Additional Calibration Constant"
"sov","sov_skim.CongTime","hvilvi",-0.1164,"Travel time"
"sov","Constant","hvilvs",3.29988,"Additional Calibration Constant"
"sov","sov_skim.CongTime","hvilvs",-0.1164,"Travel time"
"sov","Constant","v0",-99.0000,"Auto Availability"
