HCMType,AreaType,HCMMedian,cape_phpl,capd_phpl
Freeway,Downtown,Restrictive,2734,2461
Freeway,Rural,Restrictive,2916,2625
Freeway,Suburban,Restrictive,2856,2571
Freeway,Urban,Restrictive,2795,2516
MLHighway,Downtown,Restrictive,2083,1875
MLHighway,Rural,Restrictive,2083,1875
MLHighway,Suburban,Restrictive,2083,1875
MLHighway,Urban,Restrictive,2083,1875
TLHighway,Downtown,None,1823,1641
TLHighway,Rural,None,1823,1641
TLHighway,Suburban,None,1823,1641
TLHighway,Urban,None,1823,1641
Superstreet,Downtown,Restrictive,2160,1944
Superstreet,Rural,Restrictive,2160,1944
Superstreet,Suburban,Restrictive,2160,1944
Superstreet,Urban,Restrictive,2160,1944
MajorArterial,Downtown,None,1354,1218
MajorArterial,Downtown,NonRestrictive,1571,1414
MajorArterial,Downtown,Restrictive,1844,1660
MajorArterial,Rural,None,1303,1172
MajorArterial,Rural,NonRestrictive,1790,1612
MajorArterial,Rural,Restrictive,2129,1916
MajorArterial,Suburban,None,1303,1172
MajorArterial,Suburban,NonRestrictive,1728,1555
MajorArterial,Suburban,Restrictive,1560,1404
MajorArterial,Urban,None,1354,1218
MajorArterial,Urban,NonRestrictive,1728,1555
MajorArterial,Urban,Restrictive,1760,1584
Arterial,Downtown,None,1100,990
Arterial,Downtown,NonRestrictive,1084,976
Arterial,Downtown,Restrictive,1640,1476
Arterial,Rural,None,1138,1024
Arterial,Rural,NonRestrictive,1452,1307
Arterial,Rural,Restrictive,1901,1711
Arterial,Suburban,None,1368,1231
Arterial,Suburban,NonRestrictive,1426,1283
Arterial,Suburban,Restrictive,1746,1572
Arterial,Urban,None,1211,1090
Arterial,Urban,NonRestrictive,1211,1090
Arterial,Urban,Restrictive,1640,1476
MajorCollector,Downtown,None,908,817
MajorCollector,Downtown,NonRestrictive,900,810
MajorCollector,Downtown,Restrictive,1000,900
MajorCollector,Rural,None,811,730
MajorCollector,Rural,NonRestrictive,1013,912
MajorCollector,Rural,Restrictive,1308,1177
MajorCollector,Suburban,None,880,792
MajorCollector,Suburban,NonRestrictive,990,891
MajorCollector,Suburban,Restrictive,1012,911
MajorCollector,Urban,None,750,675
MajorCollector,Urban,NonRestrictive,900,810
MajorCollector,Urban,Restrictive,1000,900
Collector,Downtown,None,715,644
Collector,Downtown,NonRestrictive,880,792
Collector,Downtown,Restrictive,990,891
Collector,Rural,None,741,667
Collector,Rural,NonRestrictive,944,850
Collector,Rural,Restrictive,1208,1087
Collector,Suburban,None,780,702
Collector,Suburban,NonRestrictive,890,801
Collector,Suburban,Restrictive,912,821
Collector,Urban,None,650,585
Collector,Urban,NonRestrictive,800,720
Collector,Urban,Restrictive,900,810
Local,Downtown,None,715,644
Local,Downtown,NonRestrictive,800,720
Local,Downtown,Restrictive,900,810
Local,Rural,None,741,667
Local,Rural,NonRestrictive,944,850
Local,Rural,Restrictive,1208,1087
Local,Suburban,None,780,702
Local,Suburban,NonRestrictive,890,801
Local,Suburban,Restrictive,912,821
Local,Urban,None,715,644
Local,Urban,NonRestrictive,800,720
Local,Urban,Restrictive,900,810
CC,Downtown,None,10000,9000
CC,Rural,None,10000,9000
CC,Suburban,None,10000,9000
CC,Urban,None,10000,9000
