Expression,Segment,Coefficient,Description
se.n_hbodl_size.D,,0.592,Size term
nz(mc_logsums.NonHHAutoComposite),,0.285,
nz(mc_logsums.TransitComposite),,1.1,
intra_cluster.IZ,,0.751,
sov_skim.CongTime,hvihvi,-0.171,
sov_skim.CongTime,hvihvs,-0.171,
sov_skim.CongTime,hvilvi,-0.171,
sov_skim.CongTime,hvilvs,-0.171,
sov_skim.CongTime*0.75,cavihvi,-0.171,
sov_skim.CongTime*0.75,cavihvs,-0.171,
sov_skim.CongTime*0.75,cavilvi,-0.171,
sov_skim.CongTime*0.75,cavilvs,-0.171,
"max(0, sov_skim.CongTime - 30)",,0.108,
se.access_walk.D,v0,0.246,
intra_cluster.IZ,,0.19,Adjustment
sov_skim.CongTime > 55,,-99,Cutoff
