Alternative,Expression,Segment,Coefficient,Description
auto_pay,Constant,hvihvi,1.575,Vehicle insufficient households
auto_pay,Constant,hvihvi,1.596163,Additional Calibration Constant
auto_pay,Constant,hvihvs,3.18576,Additional Calibration Constant
auto_pay,Constant,hvilvi,1.575,Vehicle insufficient households
auto_pay,Constant,hvilvi,2.424086,Additional Calibration Constant
auto_pay,Constant,hvilvs,-0.312514,Additional Calibration Constant
auto_pay,Constant,v0,1.575,Zero-vehicle households
auto_pay,Constant,v0,1.338744,Additional Calibration Constant
auto_pay,Constant,,3.758,Constant
auto_pay,hov_skim.CongTime,,-0.04787,Travel time
auto_pay,se.PKTNCWait.O,,-0.04787,Auto wait time
auto_pay,Constant,cavihvi,1.575,Vehicle insufficient households
auto_pay,Constant,cavihvi,1.596163,Additional Calibration Constant
auto_pay,Constant,cavihvs,3.18576,Additional Calibration Constant
auto_pay,Constant,cavilvi,1.575,Vehicle insufficient households
auto_pay,Constant,cavilvi,2.424086,Additional Calibration Constant
auto_pay,Constant,cavilvs,-0.312514,Additional Calibration Constant
auto_pay,hov_skim.auto_pay_fare,hvihvi,-0.175156,Auto fare
auto_pay,hov_skim.auto_pay_fare,hvihvs,-0.175156,Auto fare
auto_pay,hov_skim.auto_pay_fare,hvilvi,-0.175156,Auto fare
auto_pay,hov_skim.auto_pay_fare,hvilvs,-0.175156,Auto fare
auto_pay,hov_skim.auto_pay_fare*0.5,cavihvi,-0.175156,Auto fare
auto_pay,hov_skim.auto_pay_fare*0.5,cavihvs,-0.175156,Auto fare
auto_pay,hov_skim.auto_pay_fare*0.5,cavilvi,-0.175156,Auto fare
auto_pay,hov_skim.auto_pay_fare*0.5,cavilvs,-0.175156,Auto fare
hov2,Constant,hvihvi,-0.7876,Vehicle insufficient households
hov2,Constant,hvihvi,0.6589,High income households
hov2,Constant,hvihvi,2.509505,Additional Calibration Constant
hov2,Constant,hvihvs,0.6589,High income households
hov2,Constant,hvihvs,3.897848,Additional Calibration Constant
hov2,Constant,hvilvi,-0.7876,Vehicle insufficient households
hov2,Constant,hvilvi,4.186595,Additional Calibration Constant
hov2,Constant,hvilvs,3.472254,Additional Calibration Constant
hov2,Constant,cavihvi,-0.7876,Vehicle insufficient households
hov2,Constant,cavihvi,0.6589,High income households
hov2,Constant,cavihvi,2.509505,Additional Calibration Constant
hov2,Constant,cavihvs,0.6589,High income households
hov2,Constant,cavihvs,3.897848,Additional Calibration Constant
hov2,Constant,cavilvi,-0.7876,Vehicle insufficient households
hov2,Constant,cavilvi,4.186595,Additional Calibration Constant
hov2,Constant,cavilvs,3.472254,Additional Calibration Constant
hov2,Constant,v0,-99,Auto Availability
hov2,Constant,,0.9651,Constant
hov2,hov_skim.CongTime,hvihvi,-0.1164,Travel time
hov2,hov_skim.CongTime,hvihvi,-0.1164,Travel time
hov2,hov_skim.CongTime,hvihvi,-0.1164,Travel time
hov2,hov_skim.CongTime,hvihvs,-0.1164,Travel time
hov2,hov_skim.CongTime,hvihvs,-0.1164,Travel time
hov2,hov_skim.CongTime,hvilvi,-0.1164,Travel time
hov2,hov_skim.CongTime,hvilvi,-0.1164,Travel time
hov2,hov_skim.CongTime,hvilvs,-0.1164,Travel time
hov2,hov_skim.CongTime*0.4,cavihvi,-0.1164,Travel time
hov2,hov_skim.CongTime*0.4,cavihvi,-0.1164,Travel time
hov2,hov_skim.CongTime*0.4,cavihvi,-0.1164,Travel time
